,"neutral,""According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing ."""
1127,"positive,""`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia ."""
1128,"positive,`` It allows the young child to move forward with his life . ''"
1129,"positive,""`` Our decision and resolve on MeeGo is only stronger , '' she continued ."""
1130,"neutral,`` The issues identified by Stonesoft affect a range of content inspection technology ."
1131,"neutral,`` They want my credit card info and my personal details ."
1132,"neutral,""`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said ."""
1133,"neutral,""`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act ."""
1134,"positive,1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) ."
1135,"neutral,A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet ."
1136,"positive,A new production line is being completed for the contract production of hormone treatments ."
1137,"neutral,A quick `` one-stop-shop '' to understand the company ."
1138,"neutral,About Dopplr Dopplr is a service for smart travellers ."
1139,"positive,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field ."
1140,"positive,About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices ."
1141,"neutral,About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations ."
1142,"neutral,""According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland ."""
1143,"neutral,Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 ."
1144,"positive,""Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor ."""
1145,"positive,Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food ."
1146,"neutral,Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries ."
1147,"negative,""Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees ."""
1148,"neutral,Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB ."
1149,"negative,""According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed ."""
1150,"neutral,""According to Barclays , the F-Secure software will protect users from hackers , viruses , spyware and other digital attacks ."""
1151,"neutral,""According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company ."""
1152,"neutral,""According to Finnair Technical Services , the measure is above all due to the employment situation ."""
1153,"neutral,""According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year ."""
1154,"neutral,""According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports ."""
1155,"neutral,""According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small ."""
1156,"negative,""According to the company , staff will be laid off temporarily when necessary ."""
1157,"neutral,""According to Tyrv+Æinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy ."""
1158,"neutral,""According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks ."""
1159,"neutral,""After the signing , the total amount of Aspo 's revolving credit facility agreements is EUR 50 million , which replaces the formerly valid agreements of EUR 80 million ."""
1160,"neutral,""Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company ."""
1161,"neutral,""Aho is proud of the company 's new product , Lordi-Cola ."""
1162,"neutral,Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences"
1163,"neutral,""ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use ."""
1164,"neutral,""Also , a seven-year historic analysis is provided for these markets ."""
1165,"neutral,""Also , a six-year historic analysis is provided for these markets ."""
1166,"neutral,""Also , a six-year historic analysis is provided for this market ."""
1167,"neutral,""Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February ."""
1168,"neutral,Also Chile is an important market area for forest machine companies ."
1169,"neutral,Also the traditional grapevine carries a lot of weight ."
1170,"positive,Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million ."
1171,"positive,Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company ."
1172,"neutral,Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 ."
1173,"neutral,""An  of the invention , released by the Patent Office , said : `` The chambers are pressurized ."""
1174,"neutral,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com ."
1175,"neutral,""Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  ."""
1176,"neutral,""Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia ."""
1177,"neutral,""As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi ."""
